date,progress(%),sum_progress(%)
2024-07-01,0.0,0.0
2024-07-02,0.0235294117647058,0.0235294117647058
2024-07-03,0.0235294117647058,0.0470588235294117
2024-07-04,0.0235294117647058,0.0705882352941176
2024-07-05,0.0235294117647058,0.0941176470588235
2024-07-06,0.0352941176470588,0.1294117647058823
2024-07-07,0.0235294117647058,0.1529411764705882
2024-07-08,0.0235294117647058,0.1764705882352941
2024-07-09,0.0235294117647058,0.2
2024-07-10,0.0235294117647058,0.2235294117647059
2024-07-11,0.0235294117647058,0.2470588235294117
2024-07-12,0.0,0.2470588235294117
2024-07-13,0.0,0.2470588235294117
2024-07-14,0.0,0.2470588235294117
2024-07-15,0.0,0.2470588235294117
2024-07-16,0.0117647058823529,0.2588235294117647
2024-07-17,0.0117647058823529,0.2705882352941176
2024-07-18,0.0117647058823529,0.2823529411764706
2024-07-19,0.0117647058823529,0.2941176470588235
2024-07-20,0.0117647058823529,0.3058823529411765
2024-07-21,0.0235294117647058,0.3294117647058823
2024-07-22,0.0235294117647058,0.3529411764705882
2024-07-23,0.0235294117647058,0.3764705882352941
2024-07-24,0.0235294117647058,0.4
2024-07-25,0.0235294117647058,0.4235294117647059
2024-07-26,0.0352941176470588,0.4588235294117647
2024-07-27,0.0352941176470588,0.4941176470588235
2024-07-28,0.0117647058823529,0.5058823529411764
2024-07-29,0.0117647058823529,0.5176470588235295
2024-07-30,0.0117647058823529,0.5294117647058824
2024-07-31,0.0117647058823529,0.5411764705882353
2024-08-01,0.0117647058823529,0.5529411764705883
2024-08-02,0.0235294117647058,0.5764705882352941
2024-08-03,0.0235294117647058,0.6
2024-08-04,0.0117647058823529,0.611764705882353
2024-08-05,0.0117647058823529,0.6235294117647059
2024-08-06,0.0235294117647058,0.6470588235294117
2024-08-07,0.0235294117647058,0.6705882352941175
2024-08-08,0.0235294117647058,0.6941176470588235
2024-08-09,0.0235294117647058,0.7176470588235294
2024-08-10,0.0117647058823529,0.7294117647058823
2024-08-11,0.0235294117647058,0.7529411764705882
2024-08-12,0.0235294117647058,0.7764705882352942
2024-08-13,0.0235294117647058,0.8
2024-08-14,0.0235294117647058,0.8235294117647058
2024-08-15,0.0235294117647058,0.8470588235294118
2024-08-16,0.0352941176470588,0.8823529411764706
2024-08-17,0.0235294117647058,0.9058823529411764
2024-08-18,0.0235294117647058,0.9294117647058824
2024-08-19,0.0117647058823529,0.9411764705882352
2024-08-20,0.0117647058823529,0.952941176470588
2024-08-21,0.0117647058823529,0.9647058823529412
2024-08-22,0.0117647058823529,0.976470588235294
2024-08-23,0.0117647058823529,0.9882352941176472
2024-08-24,0.0117647058823529,1.0
